aar;bydel_id;bydel_navn;delbydel_id;delbydel_navn;selveier_alle;borettslag_andel_alle;leier_alle;selveier_uten_studenter;borettslag_andel_uten_studenter;leier_uten_studenter
2016;11;Bydel Stovner;1101;Vestli;61.55;15.92;22.53;62.41;15.95;21.64
2016;11;Bydel Stovner;1102;Fossum;47.51;11.22;41.28;47.92;11.3;40.78
2016;11;Bydel Stovner;1103;Rommen;0.0;86.53;8.46;4.99;86.53;8.48
2016;11;Bydel Stovner;1104;Haugenstua;3.01;86.16;10.83;3.05;86.19;10.77
2016;11;Bydel Stovner;1105;Stovner;43.88;43.02;13.1;43.98;43.26;12.75
2016;11;Bydel Stovner;1106;Høybråten;55.1;29.87;15.03;55.56;29.88;14.56
2016;12;Bydel Alna;1201;Furuset;13.31;68.89;17.79;13.36;69.22;17.42
2016;12;Bydel Alna;1202;Ellingsrud;18.67;71.38;9.95;18.77;71.67;9.56
2016;12;Bydel Alna;1203;Lindeberg;11.04;74.68;14.28;11.08;75.24;13.69
2016;12;Bydel Alna;1204;Trosterud;20.32;62.23;17.45;20.26;62.71;17.04
2016;12;Bydel Alna;1205;Hellerudtoppen;58.6;29.99;11.42;59.11;29.92;10.97
2016;12;Bydel Alna;1206;Tveita;9.49;80.1;10.41;9.49;80.38;10.14
2016;12;Bydel Alna;1207;Teisen;16.45;60.61;22.94;16.82;61.06;22.12
2016;13;Bydel Østensjø;1301;Manglerud;26.72;61.99;11.29;27.12;62.18;10.7
2016;13;Bydel Østensjø;1302;Godlia;58.9;22.19;18.91;59.59;22.4;18.01
2016;13;Bydel Østensjø;1303;Oppsal;13.99;76.38;9.63;14.09;76.6;9.31
2016;13;Bydel Østensjø;1304;Bøler;27.04;60.84;12.12;27.39;60.93;11.67
2016;13;Bydel Østensjø;1305;Skullerud;30.61;51.87;17.51;30.84;52.17;16.99
2016;13;Bydel Østensjø;1306;Abildsø;71.42;13.23;15.35;72.07;13.33;14.59
2016;14;Bydel Nordstrand;1401;Ljan;73.75;6.49;19.76;74.66;6.55;18.79
2016;14;Bydel Nordstrand;1402;Nordstrand;55.87;26.55;17.58;56.51;26.76;16.73
2016;14;Bydel Nordstrand;1403;Bekkelaget;75.73;3.96;20.31;76.75;3.92;19.33
2016;14;Bydel Nordstrand;1404;Simensbråten;63.64;14.92;21.44;64.6;15.08;20.32
2016;14;Bydel Nordstrand;1405;Lambertseter;5.98;84.33;9.69;5.99;84.81;9.2
2016;14;Bydel Nordstrand;1406;Munkerud;74.53;9.4;16.08;75.18;9.42;15.39
2016;15;Bydel Søndre Nordstrand;1501;Holmlia Syd;15.09;67.97;16.94;15.18;68.56;16.26
2016;15;Bydel Søndre Nordstrand;1502;Holmlia Nord;3.52;89.28;7.2;3.4;89.72;6.88
2016;15;Bydel Søndre Nordstrand;1503;Prinsdal;57.9;15.8;26.3;58.56;15.83;25.61
2016;15;Bydel Søndre Nordstrand;1504;Bjørnerud;49.46;27.53;23.01;49.96;27.57;22.47
2016;15;Bydel Søndre Nordstrand;1505;Mortensrud;66.19;18.98;14.83;66.73;19.04;14.24
2016;15;Bydel Søndre Nordstrand;1506;Bjørndal;58.7;16.82;24.48;59.38;16.75;23.87
2016;16;Sentrum;1601;Sentrum;22.26;4.73;73.01;23.76;4.97;71.27
2016;17;Marka;1701;Marka;62.46;1.22;36.32;62.58;1.23;36.2
2016;10000;;;;36.62;33.28;30.11;38.27;34.39;27.39
2016;20000;;;;63.14;14.12;22.74;64.81;14.34;20.84
2016;15000;;;;67.44;11.02;21.54;68.98;11.19;19.82
2017;01;Bydel Gamle Oslo;0102;Grønland;27.47;24.77;47.76;28.15;25.2;46.66
2017;01;Bydel Gamle Oslo;0103;Enerhaugen;19.36;41.21;39.42;19.79;41.9;38.32
2017;01;Bydel Gamle Oslo;0104;Nedre Tøyen;15.75;40.66;43.59;15.9;41.78;42.32
2017;01;Bydel Gamle Oslo;0105;Kampen;27.35;40.37;32.27;27.82;41.02;31.16
2017;01;Bydel Gamle Oslo;0106;Vålerenga;26.47;35.74;37.79;26.91;36.11;36.98
2017;01;Bydel Gamle Oslo;0108;Kværnerbyen;23.36;50.07;26.57;23.99;50.39;25.62
2017;01;Bydel Gamle Oslo;0109;Bispevika;66.72;1.69;31.59;69.08;1.79;29.13
2017;01;Bydel Gamle Oslo;0110;Ensjø;27.26;47.5;25.24;27.64;48.04;24.31
2017;01;Bydel Gamle Oslo;0111;Etterstad;24.45;64.95;10.59;24.67;65.39;9.94
2017;02;Bydel Grünerløkka;0201;Grünerløkka vest;24.43;20.21;55.36;25.89;21.66;52.44
2017;02;Bydel Grünerløkka;0202;Grünerløkka øst;23.9;27.72;48.38;24.89;28.72;46.39
2017;02;Bydel Grünerløkka;0203;Dælenenga;20.33;32.42;47.25;20.73;33.05;46.23
2017;02;Bydel Grünerløkka;0204;Rodeløkka;30.99;25.81;43.2;32.04;26.94;41.02
2017;02;Bydel Grünerløkka;0205;Sinsen;23.33;37.12;39.54;24.15;38.4;37.44
2017;02;Bydel Grünerløkka;0206;Sofienberg;16.11;47.88;36.01;16.46;50.11;33.43
2017;02;Bydel Grünerløkka;0208;Løren;53.74;12.21;34.05;54.91;12.58;32.5
2017;02;Bydel Grünerløkka;0209;Hasle;27.24;59.51;13.25;27.55;59.99;12.46
2017;03;Bydel Sagene;0301;Iladalen;26.15;38.43;35.42;26.92;39.61;33.46
2017;03;Bydel Sagene;0302;Sagene;16.5;51.52;31.98;17;53.09;29.91
2017;03;Bydel Sagene;0303;Bjølsen;10.22;40;49.78;11.19;43.81;45.0
2017;03;Bydel Sagene;0304;Sandaker;33.6;31.82;34.59;34.71;33.07;32.23
2017;03;Bydel Sagene;0305;Torshov;21.7;41.74;36.57;22.26;42.74;35.0
2017;04;Bydel St. Hanshaugen;0401;Hammersborg;26.15;22.22;51.64;27.78;23.84;48.38
2017;04;Bydel St. Hanshaugen;0402;Bislett;38.9;15.12;45.97;41.33;16.22;42.45
2017;04;Bydel St. Hanshaugen;0403;Ila;27.8;26.48;45.73;29.99;28.48;41.53
2017;04;Bydel St. Hanshaugen;0404;Fagerborg;39.59;19.06;41.34;41.58;19.94;38.49
2017;04;Bydel St. Hanshaugen;0405;Lindern;22.47;24.36;53.17;24.02;25.88;50.1
2017;05;Bydel Frogner;0501;Bygdøy;62.05;9.74;28.22;62.71;9.87;27.42
2017;05;Bydel Frogner;0502;Frogner;47.04;14.69;38.27;48.67;15.19;36.13
2017;05;Bydel Frogner;0503;Frognerparken;49.38;10.84;39.78;50.97;11.19;37.84
2017;05;Bydel Frogner;0504;Majorstuen nord;41.93;19.19;38.88;44.1;19.98;35.92
2017;05;Bydel Frogner;0505;Majorstuen syd;42.43;11.04;46.53;44.33;11.62;44.05
2017;05;Bydel Frogner;0506;Homansbyen;32.91;14.6;52.49;34.52;15.55;49.92
2017;05;Bydel Frogner;0507;Uranienborg;47.3;8.37;44.33;48.87;8.72;42.41
2017;05;Bydel Frogner;0508;Skillebekk;47.61;9.75;42.65;49.12;10.04;40.84
2017;06;Bydel Ullern;0601;Ullernåsen;62.69;25.46;11.85;63.29;25.73;10.98
2017;06;Bydel Ullern;0602;Lilleaker;69.77;8.46;21.78;70.46;8.49;21.06
2017;06;Bydel Ullern;0603;Ullern;74.26;6.78;18.96;75.22;6.72;18.05
2017;06;Bydel Ullern;0604;Montebello-Hoff;65.45;11.01;23.55;66.47;11.09;22.44
2017;06;Bydel Ullern;0605;Skøyen;52.76;29;18.23;53.48;29.46;17.06
2017;07;Bydel Vestre Aker;0701;Røa;76.41;3.31;20.28;77.39;3.35;19.26
2017;07;Bydel Vestre Aker;0702;Holmenkollen;62.81;23.6;13.59;63.5;23.86;12.64
2017;07;Bydel Vestre Aker;0703;Hovseter;25.82;54.62;19.55;25.9;55.22;18.88
2017;07;Bydel Vestre Aker;0704;Holmen;82.3;2.65;15.04;83.41;2.7;13.89
2017;07;Bydel Vestre Aker;0705;Slemdal;76.71;1.43;21.86;77.99;1.47;20.55
2017;07;Bydel Vestre Aker;0706;Grimelund;77.77;0.78;21.45;79.76;0.81;19.44
2017;07;Bydel Vestre Aker;0707;Vinderen;62.17;8.11;29.72;65.18;8.47;26.35
2017;08;Bydel Nordre Aker;0801;Disen;44.59;42.29;13.12;45.35;42.84;11.81
2017;08;Bydel Nordre Aker;0802;Myrer;64.32;18.38;17.3;65.25;18.34;16.41
2017;08;Bydel Nordre Aker;0803;Grefsen;59.3;13.57;27.13;61.11;13.7;25.19
2017;08;Bydel Nordre Aker;0804;Kjelsås;67.15;15.19;17.66;68.51;14.95;16.54
2017;08;Bydel Nordre Aker;0805;Korsvoll;61.3;13.54;25.16;63.24;13.15;23.61
2017;08;Bydel Nordre Aker;0806;Tåsen;56;10.02;33.98;60.34;10.77;28.89
2017;08;Bydel Nordre Aker;0807;Nordberg;30.06;13.9;56.03;37.69;17.34;44.97
2017;08;Bydel Nordre Aker;0808;Ullevål hageby;37.89;32.87;29.24;40.7;36.04;23.26
2017;09;Bydel Bjerke;0901;Veitvet;18.48;60.02;21.49;18.53;61.03;20.44
2017;09;Bydel Bjerke;0902;Linderud;32.89;42.31;24.8;33.31;42.68;24.01
2017;09;Bydel Bjerke;0904;Årvoll;48.05;36.74;15.21;48.48;36.93;14.59
2017;09;Bydel Bjerke;0905;Refstad;29.63;24.62;45.75;30.56;25.5;43.94
2017;09;Bydel Bjerke;0906;Ulven;63.84;4.7;31.46;64.9;4.65;30.45
2017;10;Bydel Grorud;1001;Ammerud;22.11;60.96;16.92;22.36;61.23;16.4
2017;10;Bydel Grorud;1002;Rødtvet;27.7;59.45;12.85;28.13;59.53;12.34
2017;10;Bydel Grorud;1003;Nordtvet;4.61;84.45;10.94;4.68;85.13;10.19
2017;10;Bydel Grorud;1004;Grorud;54.12;12.78;33.1;54.5;12.86;32.64
2017;10;Bydel Grorud;1005;Romsås;1.85;85.59;12.56;1.8;85.97;12.22
2017;11;Bydel Stovner;1101;Vestli;61.49;15.49;23.02;62.21;15.61;22.18
2017;11;Bydel Stovner;1102;Fossum;46.18;11.47;42.35;46.88;11.71;41.42
2017;11;Bydel Stovner;1103;Rommen;4.88;85.28;9.84;4.95;85.98;9.07
2017;11;Bydel Stovner;1104;Haugenstua;3.79;85.48;10.73;3.65;85.79;10.56
2017;11;Bydel Stovner;1105;Stovner;41.81;42.62;15.57;42.03;42.75;15.23
2017;11;Bydel Stovner;1106;Høybråten;55.58;28.99;15.43;55.93;29.1;14.97
2017;12;Bydel Alna;1201;Furuset;12.72;69.5;17.79;12.7;70.04;17.27
2017;12;Bydel Alna;1202;Ellingsrud;17.88;71.53;10.59;17.92;71.89;10.19
2017;12;Bydel Alna;1203;Lindeberg;10.61;75.04;14.35;10.53;75.2;14.27
2017;12;Bydel Alna;1204;Trosterud;19.91;62.44;17.65;19.99;62.9;17.1
